Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Class
0.073319435,0.99,0.17,-0.25,-5.49,14.95,4.58,33.84,34.14,28.87,RUN
0.074317694,0.97,0.17,-0.27,-4.58,1.1,1.28,33.9,34.29,28.99,RUN
0.075320482,0.97,0.18,-0.3,-3.05,11.54,0.31,33.04,34.33,29.5,RUN
0.076318502,0.97,0.16,-0.3,-1.83,4.39,-1.71,33.28,33.81,30.7,RUN
0.078318119,0.96,0.16,-0.32,-3.78,6.16,0.18,32.8,34.31,31.47,RUN
0.079318047,0.95,0.15,-0.33,0.79,-2.32,-3.72,32.82,34.74,30.64,RUN
0.080318213,0.98,0.15,-0.3,5.68,-9.7,-0.37,32.63,34.34,31.43,RUN
0.081317902,0.98,0.17,-0.31,0.06,-13.67,-5.43,33.01,33.98,28.8,RUN
0.083317995,0.97,0.13,-0.25,-6.53,-16.3,-0.31,32.73,35.11,28.55,RUN
0.084318399,0.99,0.15,-0.22,-1.28,-20.87,-0.67,33.36,34.63,27.37,RUN
0.08531785,0.98,0.15,-0.18,0.12,-17.52,-0.18,34.38,35.07,26.71,RUN
0.08731699,0.98,0.16,-0.15,4.52,-10.74,2.14,35.38,34.44,23.85,RUN
0.088317156,0.97,0.17,-0.13,12.15,-6.96,4.21,35.18,34.12,24.67,RUN
0.089316607,0.95,0.11,-0.09,6.9,-4.88,-5.31,35.96,33.64,25.5,RUN
0.090317249,1.01,0.16,-0.04,16.42,-7.87,10.44,35.56,33.81,24.11,RUN
0.091316938,0.95,0.19,-0.04,18.31,-2.2,-5.92,35.56,32.69,24.38,RUN
0.092316628,1.01,0.16,-0.04,26.55,0.24,0,36.12,33.14,25.51,RUN
0.092316628,1,0.12,-0.02,16.42,-0.43,-6.04,36.16,32.26,26.17,RUN
0.093316555,1.01,0.12,-0.04,-4.21,-2.81,-3.91,36.36,32.87,26.42,RUN
0.094316006,1.02,0.1,-0.01,-6.35,-21.48,2.81,36.24,33.15,25.56,RUN
0.095317841,0.99,0.12,0,-7.57,-6.65,-1.1,36.52,33.01,25.06,RUN
0.096315861,0.96,0.12,0.02,-5.62,-8.3,0.43,36.95,33.29,24.28,RUN
0.096315861,0.97,0.18,0.02,9.46,-0.24,-2.32,36.28,33.72,24.06,RUN
0.097315788,1.09,0.2,0.05,2.01,1.53,-5.86,35.91,33.29,24.24,RUN
0.097315788,0.96,0.12,0.09,-18.68,-19.35,-15.93,36.24,34.41,24.82,RUN
0.098316193,1.03,0.17,0.1,-44.49,-12.7,-15.08,35.94,36.21,22.5,RUN
0.098316193,0.92,0.07,0.05,-42.24,-9.28,-16.48,35.16,37.71,18.93,RUN
0.099917889,0.99,0.05,0.1,-38.21,-2.14,-13.12,34.75,39.47,16.16,RUN
0.100825548,1,-0.03,0.11,-59.88,2.75,-13,33.78,40.31,14.07,RUN
0.100825548,0.97,-0.09,0,-68.36,12.94,-15.81,33.83,40.6,12.05,RUN
0.101825237,1.12,-0.07,0,-45.23,5.25,1.65,33.53,40.48,8.11,RUN
0.102824926,0.87,-0.08,0.01,-1.4,-11.72,-0.67,33.84,39.2,6.36,RUN
0.102824926,1.15,-0.02,0.1,-5.8,-8.61,-10.74,32.87,39.72,6.16,RUN
0.103824854,0.86,-0.07,0.03,2.08,-5.8,5.25,32.3,40.21,5.83,RUN
