Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Class
0.045044661,0.87,-0.04,-0.02,9.28,-30.46,-10.8,33.86,22.69,40.19,STAND
0.046143055,0.96,-0.11,0.06,4.7,7.2,-13.92,34.69,22.79,38.98,STAND
0.047157764,0.95,-0.09,-0.02,-10.56,-4.27,-1.04,34.13,23,38.9,STAND
0.048146248,1.31,-0.27,0.01,11.41,-16.3,-8.3,34.03,24.35,40.17,STAND
0.048146248,0.76,-0.22,-0.14,-25.33,-17.88,-5.92,35.11,25.63,39.53,STAND
0.049831152,1.05,-0.23,0.07,-13,6.9,3.78,35.39,26.31,38.18,STAND
0.049831152,0.89,-0.18,0.04,-11.11,10.07,6.9,36.13,27.31,36.01,STAND
0.05080843,0.86,-0.19,0.15,-4.33,13.92,5.68,35.46,26.79,36.94,STAND
0.051917791,1.02,-0.23,0.11,-11.66,31.92,15.81,34.85,26.45,38.66,STAND
0.051917791,1.03,-0.06,-0.1,3.05,-2.99,8.54,33.95,25.72,40.58,STAND
0.052927971,0.99,-0.1,-0.13,39.73,22.52,-12.45,33.94,25.34,40.66,STAND
0.053914309,0.8,-0.06,-0.08,5.07,-5.49,-4.58,33.12,25.29,41.47,STAND
0.053914309,0.99,-0.1,0.04,-5.37,28.14,0.85,33.02,24.33,42.16,STAND
0.054919004,1.1,-0.02,-0.15,-0.49,-1.28,-3.97,32.24,24.99,42.03,STAND
0.054919004,1.18,-0.34,-0.17,-2.56,-28.75,-0.49,32.39,24.79,43.14,STAND
0.055916548,0.81,-0.17,-0.2,-14.1,-9.34,6.77,32.91,25,41.66,STAND
0.055916548,0.99,-0.15,-0.01,-3.97,0.18,2.2,32.73,25.26,42.35,STAND
0.056923866,0.94,-0.13,-0.04,-1.28,25.82,5.49,33.08,25.31,41.91,STAND
0.057917356,0.96,-0.16,-0.09,-0.24,5.07,2.44,31.18,25.23,43.4,STAND
0.057917356,1.18,-0.17,-0.13,-14.47,2.01,1.95,31.82,24.62,44.65,STAND
0.058918476,0.91,-0.08,-0.2,5.37,-40.53,3.36,32.58,24.9,42.18,STAND
0.058918476,1.12,-0.15,-0.09,33.81,21.06,-17.33,33.09,23.65,42.76,STAND
0.060424089,0.76,-0.07,-0.08,8.67,-12.82,-1.53,33.57,24.05,41.08,STAND
0.060424089,0.99,-0.07,-0.04,-8.24,20.08,4.09,32.18,23.08,42.24,STAND
0.061431646,1.1,-0.04,-0.15,2.62,1.71,-2.5,32.25,23.43,42.81,STAND
0.061431646,1.13,-0.34,-0.17,3.3,-26.31,-10.74,31.97,22.94,42.96,STAND
0.06243062,0.9,-0.24,-0.25,-16.11,-6.65,5.68,32.46,24.5,41.32,STAND
0.063444853,0.95,-0.12,-0.06,-17.64,-16.54,11.23,32.23,25.61,42.46,STAND
0.063444853,0.95,-0.14,-0.07,-3.6,25.51,5.74,32.28,25.42,42.03,STAND
0.064449549,0.95,-0.2,-0.13,-4.58,3.78,6.84,32.18,24.79,42.92,STAND
0.064449549,1.28,-0.07,-0.12,-9.83,-10.19,3.72,32.13,24.56,43.71,STAND
0.065444946,0.85,0,-0.22,1.89,-27.28,0.06,33.51,23.85,41.39,STAND
0.065444946,1.04,-0.18,-0.06,19.29,7.81,-14.4,33.44,23.08,40.69,STAND
0.066458464,0.88,-0.09,-0.07,13.67,8.3,-0.55,32.34,23.28,42.55,STAND
0.06753397,0.99,-0.02,-0.04,-1.95,5.49,-4.64,31.53,23.52,42.59,STAND
0.06753397,1.14,-0.07,-0.11,13.43,-5.98,-8.79,31.92,23.39,42.83,STAND
0.068535805,0.95,-0.25,-0.11,-15.99,-6.65,-8.24,32.73,23.85,41.85,STAND
0.068535805,0.99,-0.25,-0.15,0.73,-3.17,8.73,33.61,24.26,41.47,STAND
0.069537401,0.88,-0.14,-0.05,-9.34,-8.61,14.53,33.46,24.12,41.53,STAND
0.069537401,0.97,-0.13,0,0.67,9.52,2.44,34.16,23.88,40.04,STAND
0.07053113,0.96,-0.17,0.01,-8.61,6.16,8.85,33.74,23.36,41.5,STAND
0.071140051,1.25,-0.1,-0.07,-8.97,-2.56,0.55,33.8,23.54,41.13,STAND
0.071140051,0.89,-0.1,-0.15,-0.24,-27.04,1.89,34.61,23.12,40.2,STAND
0.072249651,1.15,-0.11,-0.04,26.86,11.84,-20.81,34.48,22.97,40.04,STAND
0.072249651,0.84,-0.11,-0.03,14.65,-3.11,-5.25,33.7,23.67,40.22,STAND
0.073251247,0.95,-0.03,-0.01,-3.36,8.79,-0.79,33.7,23.72,40.77,STAND
0.074252367,1.21,-0.11,-0.01,23.01,-5.68,-7.26,33.37,22.46,41.72,STAND
0.074252367,1.01,-0.29,-0.02,-10.25,-3.3,-12.02,34.39,22.96,41.58,STAND
0.074252367,0.91,-0.3,-0.16,-9.09,-9.7,2.5,34.81,24.52,39.6,STAND
0.07585454,0.91,-0.14,0,-2.32,-7.51,14.77,34.22,24.69,40.59,STAND
0.07585454,0.97,-0.16,0.04,4.76,13.18,11.96,35.49,23.52,39.53,STAND
0.076961756,0.98,-0.21,0.09,-0.61,16.54,6.23,35.16,22.89,40.22,STAND
0.076961756,1.2,-0.08,-0.02,-29.24,-0.67,0.12,34.03,23.66,41.46,STAND
0.077960491,0.92,-0.01,-0.11,13.92,-26.79,1.46,34.73,23.24,39.67,STAND
0.078961849,1.14,-0.11,-0.05,31.8,15.75,-18.55,35.03,22.62,40.38,STAND
0.078961849,0.79,-0.05,-0.02,14.83,-6.04,-4.94,34.91,21.68,40.83,STAND
0.079968452,0.98,-0.07,0.01,3.66,21.12,-8.36,33.24,21.64,41.7,STAND
0.079968452,1.16,-0.06,-0.1,18.98,-21.12,-9.46,33.44,21.77,41.76,STAND
0.080964804,1.21,-0.45,-0.03,5.31,-7.14,-7.75,34.58,21.15,42.48,STAND
0.080964804,0.78,-0.29,-0.19,-16.11,-16.48,-6.16,35.12,22.97,39.64,STAND
0.081965208,0.94,-0.17,0.04,-16.11,-17.58,-5.8,34.7,25.15,40.31,STAND
0.082906485,0.92,-0.19,0.09,3.91,7.75,6.59,35.21,24.79,38.72,STAND
0.082906485,0.75,-0.38,0.08,-22.16,28.81,17.03,35.38,24.43,39.6,STAND
0.083964348,1.11,-0.27,0.07,-26.49,12.51,15.75,34.61,24.6,40.33,STAND
0.083964348,1.08,0,-0.02,4.03,-6.65,6.41,33.75,23.75,41.41,STAND
0.084961414,0.9,-0.09,-0.23,22.83,5.8,-5.55,34.96,23.56,39.95,STAND
0.084961414,0.96,-0.05,-0.04,-4.58,6.53,-10.19,33.78,23.4,41.2,STAND
0.085965633,0.96,-0.1,0,1.71,2.5,-4.33,33.69,23.17,40.01,STAND
0.086961746,0.94,-0.06,-0.06,-6.35,-6.53,-0.49,33.48,23.44,40.66,STAND
0.086961746,1.29,-0.1,0.08,27.89,-13.18,-4.33,33.86,23.56,40.66,STAND
0.087965488,0.77,-0.24,-0.21,-16.85,-18.55,-3.54,34.58,22.62,39.55,STAND
0.087965488,1.16,-0.15,-0.04,-13.92,6.84,4.58,34.97,24.41,39.58,STAND
0.088961124,0.77,-0.13,0.02,4.82,-4.27,11.35,35.42,23.93,37.87,STAND
0.088961124,0.9,-0.15,0.05,-2.62,16.6,10.19,35.4,22.47,40.19,STAND
0.089964151,1.12,-0.27,0.03,-9.4,9.34,9.58,34.96,21.94,39.71,STAND
0.091051817,1.25,0.04,-0.03,-5.07,-3.3,-0.31,33.57,23,40.99,STAND
0.092217207,0.78,-0.01,-0.25,-12.27,-20.69,5.68,35.22,22.06,41.36,STAND
0.092217207,1.03,-0.09,0.01,2.01,26.37,-22.46,35.13,22.63,39.61,STAND
0.093319178,0.89,-0.07,-0.05,15.93,2.26,-6.84,33.46,23.23,41.61,STAND
0.093319178,0.94,-0.04,-0.03,2.32,3.42,-7.2,33.36,23.3,41.31,STAND
0.094227552,1.17,-0.14,0.07,32.78,-17.88,-14.59,33.02,23.35,41.26,STAND
0.094227552,0.93,-0.35,-0.05,-6.96,-11.47,-9.16,34.83,22.86,42.09,STAND
0.095327139,0.92,-0.28,-0.14,-19.53,-10.8,-4.15,35.9,24.05,39.94,STAND
0.096327305,0.87,-0.18,0.11,3.23,-20.2,11.96,35.21,25.4,40.12,STAND
0.096327305,0.96,-0.18,0.11,-3.78,27.04,13.55,35.35,24.21,39.37,STAND
0.097326756,1.01,-0.23,-0.01,-5.13,0.98,9.52,34.85,23.63,40.86,STAND
0.097326756,1.25,-0.1,-0.05,-6.29,12.39,14.83,34.85,23.5,40.52,STAND
0.098320723,0.82,-0.11,-0.18,14.22,-39.92,11.29,36.05,22.02,39.97,STAND
0.099238873,1.09,-0.1,-0.02,22.16,27.34,-25.21,35.99,20.86,40.66,STAND
0.099238873,0.85,-0.04,0.02,14.89,-18.8,-10.74,36.46,21.17,40.03,STAND
0.100324392,0.89,-0.07,0.07,-1.1,1.89,-4.33,35.41,21.39,40.2,STAND
0.100324392,1.15,-0.12,0.08,21.48,-13.24,-17.15,36.13,21.7,39.84,STAND
0.101320744,1.03,-0.39,0.05,7.51,3.54,-19.53,36.35,21.28,39.2,STAND
0.101933241,0.95,-0.31,-0.1,-4.7,4.46,-6.65,36.6,22.64,38.45,STAND
0.101933241,0.8,-0.25,0,-7.69,-23.8,-13.49,36.29,23.65,38.9,STAND
0.103037596,0.91,-0.26,0.1,-7.02,1.04,10.86,36.5,24.51,39.36,STAND
0.103037596,0.96,-0.39,0.06,-17.15,9.58,23.44,36.08,23.29,39.23,STAND
0.103943348,1.13,-0.12,0.16,-21.12,-1.59,14.83,36.21,23.34,38.75,STAND
0.104942799,0.88,-0.08,-0.12,5.68,-8.36,16.6,37.15,21.95,38.81,STAND
0.104942799,1.11,-0.15,-0.05,23.62,36.62,-6.9,36.05,21.44,39.39,STAND
0.105957031,0.83,-0.13,-0.01,8.79,3.72,-5.43,35.41,20.83,40.86,STAND
0.105957031,0.97,-0.04,-0.07,-15.87,17.52,-2.32,34.28,21.44,41.58,STAND
0.107133865,1.07,-0.03,-0.16,-3.66,0.61,-2.14,33.03,22.89,43.54,STAND
0.107947111,1.16,-0.27,-0.12,-6.9,-9.46,-1.71,33.5,22.45,42.63,STAND
0.107947111,0.77,-0.13,-0.11,-2.75,-9.83,5.31,34.64,23.46,41.83,STAND
0.10894537,1.15,-0.15,-0.09,-9.4,19.41,-4.88,34.7,23.6,41.22,STAND
0.10894537,0.85,-0.14,-0.07,7.32,-13.98,7.08,34.22,23.43,41.37,STAND
0.109956503,0.96,-0.17,-0.04,2.93,6.16,2.08,33.96,22.85,42.65,STAND
0.109956503,0.99,-0.15,-0.03,-9.52,9.58,11.78,33.73,22.28,43.74,STAND
0.11094141,1.05,-0.16,-0.01,-7.14,10.31,1.04,32.51,21.74,43.08,STAND
