Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.0009989738464355469,1.27, 0.14, 0.22, -150.57, -35.46, -25.15, 42.02, 18.91, 30.21,
0.0009989738464355469,-0.34, 0.08, -0.23, -44.49, -26.18, -1.10, 41.91, 20.25, 27.42,
0.0026395320892333984,0.32, -0.11, 0.21, 12.39, -2.81, 10.01, 42.05, 22.31, 26.60,
0.00356292724609375,2.69, 0.98, 0.67, 128.05, 31.92, 3.72, 42.33, 20.28, 29.91,
0.00356292724609375,0.23, -0.63, -0.26, 101.07, -13.24, 33.51, 42.54, 11.41, 29.37,
0.004559755325317383,-0.12, -0.35, -0.29, 9.83, -58.23, -4.46, 42.14, 8.39, 29.24,
0.00556182861328125,2.76, 0.27, 0.74, -69.95, 63.72, -35.58, 42.48, 11.18, 30.91,
0.006560802459716797,0.83, 0.22, 0.11, -139.40, -34.61, -17.94, 42.22, 15.71, 30.00,
0.006560802459716797,-0.43, -0.02, -0.16, -48.28, 125.92, -12.27, 41.80, 15.64, 32.34,
0.007559776306152344,0.08, 0.05, 0.38, 115.17, -130.13, -24.35, 42.09, 17.60, 28.65,
0.008563041687011719,2.26, 0.57, 0.58, 138.00, 13.18, 44.80, 41.93, 16.21, 30.75,
0.00956106185913086,-0.28, -0.39, -0.01, 110.90, 34.97, -4.52, 42.10, 6.95, 30.07,
0.01055908203125,0.02, -0.38, -0.25, 2.08, -80.93, -9.09, 41.97, 5.47, 28.92,
0.011561870574951172,3.22, -0.19, 0.58, -92.65, 42.30, -27.83, 42.93, 10.07, 30.88,
0.011561870574951172,1.17, 0.29, 0.25, -130.37, -40.41, -13.12, 42.86, 14.93, 29.87,
0.013087749481201172,-0.30, -0.02, -0.07, 20.63, -36.25, -16.66, 42.87, 15.36, 28.53,
0.013087749481201172,0.22, 0.05, 0.05, 18.80, -4.39, 44.98, 42.60, 15.97, 27.17,
0.014124870300292969,2.79, 1.18, 0.66, 136.72, 24.90, 39.86, 42.29, 15.06, 31.73,
0.015168428421020508,-0.06, -0.44, 0.04, 96.74, 7.20, 4.09, 41.87, 6.52, 30.74,
0.016207456588745117,-0.18, -0.15, -0.14, 23.68, -16.05, -42.91, 42.03, 5.19, 29.88,
0.017105579376220703,2.70, -0.01, 0.52, -86.73, 34.67, -41.87, 43.30, 7.97, 29.64,
