Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.06229734420776367,0.94, 0.16, -0.00, -17.58, -7.32, -4.39, 36.36, 32.81, 23.45,
0.06442666053771973,0.98, 0.14, 0.02, -14.89, 12.51, 5.86, 36.13, 33.15, 24.32,
0.06541752815246582,0.98, 0.11, 0.07, -5.98, 18.55, 2.26, 36.12, 33.15, 24.16,
0.06641817092895508,1.01, 0.16, -0.05, -6.84, 11.47, -4.33, 35.83, 33.68, 25.26,
0.0683739185333252,0.96, 0.11, -0.07, -11.60, 13.73, -0.31, 35.44, 33.74, 25.33,
0.06942033767700195,1.00, 0.16, -0.13, -13.12, 22.52, 5.49, 34.13, 34.07, 27.56,
0.07142472267150879,0.99, 0.16, -0.21, -8.79, 27.40, 0.31, 34.01, 33.94, 27.83,
0.0733194351196289,0.99, 0.17, -0.25, -5.49, 14.95, 4.58, 33.84, 34.14, 28.87,
0.07431769371032715,0.97, 0.17, -0.27, -4.58, 1.10, 1.28, 33.90, 34.29, 28.99,
0.07532048225402832,0.97, 0.18, -0.30, -3.05, 11.54, 0.31, 33.04, 34.33, 29.50,
0.07631850242614746,0.97, 0.16, -0.30, -1.83, 4.39, -1.71, 33.28, 33.81, 30.70,
0.07831811904907227,0.96, 0.16, -0.32, -3.78, 6.16, 0.18, 32.80, 34.31, 31.47,
0.07931804656982422,0.95, 0.15, -0.33, 0.79, -2.32, -3.72, 32.82, 34.74, 30.64,
0.08031821250915527,0.98, 0.15, -0.30, 5.68, -9.70, -0.37, 32.63, 34.34, 31.43,
0.08131790161132812,0.98, 0.17, -0.31, 0.06, -13.67, -5.43, 33.01, 33.98, 28.80,
0.08331799507141113,0.97, 0.13, -0.25, -6.53, -16.30, -0.31, 32.73, 35.11, 28.55,
0.08431839942932129,0.99, 0.15, -0.22, -1.28, -20.87, -0.67, 33.36, 34.63, 27.37,
0.08531785011291504,0.98, 0.15, -0.18, 0.12, -17.52, -0.18, 34.38, 35.07, 26.71,
0.08731698989868164,0.98, 0.16, -0.15, 4.52, -10.74, 2.14, 35.38, 34.44, 23.85,
0.0883171558380127,0.97, 0.17, -0.13, 12.15, -6.96, 4.21, 35.18, 34.12, 24.67,
0.08931660652160645,0.95, 0.11, -0.09, 6.90, -4.88, -5.31, 35.96, 33.64, 25.50,
0.0903172492980957,1.01, 0.16, -0.04, 16.42, -7.87, 10.44, 35.56, 33.81, 24.11,
0.09131693840026855,0.95, 0.19, -0.04, 18.31, -2.20, -5.92, 35.56, 32.69, 24.38,
0.0923166275024414,1.01, 0.16, -0.04, 26.55, 0.24, 0.00, 36.12, 33.14, 25.51,
0.0923166275024414,1.00, 0.12, -0.02, 16.42, -0.43, -6.04, 36.16, 32.26, 26.17,
0.09331655502319336,1.01, 0.12, -0.04, -4.21, -2.81, -3.91, 36.36, 32.87, 26.42,
0.09431600570678711,1.02, 0.10, -0.01, -6.35, -21.48, 2.81, 36.24, 33.15, 25.56,
0.09531784057617188,0.99, 0.12, -0.00, -7.57, -6.65, -1.10, 36.52, 33.01, 25.06,
0.09631586074829102,0.96, 0.12, 0.02, -5.62, -8.30, 0.43, 36.95, 33.29, 24.28,
0.09631586074829102,0.97, 0.18, 0.02, 9.46, -0.24, -2.32, 36.28, 33.72, 24.06,
0.09731578826904297,1.09, 0.20, 0.05, 2.01, 1.53, -5.86, 35.91, 33.29, 24.24,
0.09731578826904297,0.96, 0.12, 0.09, -18.68, -19.35, -15.93, 36.24, 34.41, 24.82,
0.09831619262695312,1.03, 0.17, 0.10, -44.49, -12.70, -15.08, 35.94, 36.21, 22.50,
0.09831619262695312,0.92, 0.07, 0.05, -42.24, -9.28, -16.48, 35.16, 37.71, 18.93,
0.09991788864135742,0.99, 0.05, 0.10, -38.21, -2.14, -13.12, 34.75, 39.47, 16.16,
0.10082554817199707,1.00, -0.03, 0.11, -59.88, 2.75, -13.00, 33.78, 40.31, 14.07,
0.10082554817199707,0.97, -0.09, 0.00, -68.36, 12.94, -15.81, 33.83, 40.60, 12.05,
0.10182523727416992,1.12, -0.07, -0.00, -45.23, 5.25, 1.65, 33.53, 40.48, 8.11,
0.10282492637634277,0.87, -0.08, 0.01, -1.40, -11.72, -0.67, 33.84, 39.20, 6.36,
0.10282492637634277,1.15, -0.02, 0.10, -5.80, -8.61, -10.74, 32.87, 39.72, 6.16,
0.10382485389709473,0.86, -0.07, 0.03, 2.08, -5.80, 5.25, 32.30, 40.21, 5.83,
0.10482597351074219,1.04, -0.05, 0.06, -5.74, -2.81, 7.32, 32.95, 39.42, 5.59,
0.10582685470581055,0.99, -0.01, 0.07, -12.76, -2.50, -1.46, 33.64, 38.62, 5.41,
0.10582685470581055,0.99, -0.02, 0.08, -2.14, -1.28, -0.85, 33.91, 38.35, 5.04,
0.10682535171508789,1.00, -0.02, 0.08, 2.26, -1.40, -5.25, 32.68, 38.34, 5.76,
0.10782504081726074,1.00, -0.02, 0.08, 6.59, -0.67, -2.81, 32.73, 38.88, 4.49,
0.10782504081726074,1.00, -0.03, 0.08, 3.11, 0.37, -1.83, 32.96, 39.39, 5.14,
0.1088252067565918,1.00, -0.05, 0.11, -1.53, 3.05, -1.53, 33.11, 39.16, 6.45,
0.1088252067565918,1.01, -0.02, 0.06, -9.09, -1.77, -1.04, 33.03, 39.56, 4.65,
0.11040854454040527,1.01, -0.02, 0.07, -8.42, -1.71, 2.69, 32.90, 39.53, 4.66,
