Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.03984999656677246,1.06, -0.07, -0.12, -18.92, 4.76, 1.83, 32.91, 22.88, 41.97,
0.04085516929626465,0.75, -0.12, -0.09, -15.81, -17.64, 7.32, 32.89, 23.96, 41.22,
0.0418548583984375,1.00, -0.12, -0.02, -6.59, 14.53, 0.43, 33.13, 24.54, 42.07,
0.04285478591918945,1.02, -0.19, -0.05, -1.77, -5.62, 6.90, 33.04, 24.62, 42.24,
0.043854713439941406,1.17, 0.14, 0.04, 14.16, -28.99, -0.31, 32.70, 23.67, 41.59,
0.04444551467895508,0.88, -0.02, -0.15, 35.71, 15.01, -18.92, 34.69, 22.96, 39.95,
0.045044660568237305,0.87, -0.04, -0.02, 9.28, -30.46, -10.80, 33.86, 22.69, 40.19,
0.0461430549621582,0.96, -0.11, 0.06, 4.70, 7.20, -13.92, 34.69, 22.79, 38.98,
0.04715776443481445,0.95, -0.09, -0.02, -10.56, -4.27, -1.04, 34.13, 23.00, 38.90,
0.04814624786376953,1.31, -0.27, 0.01, 11.41, -16.30, -8.30, 34.03, 24.35, 40.17,
0.04814624786376953,0.76, -0.22, -0.14, -25.33, -17.88, -5.92, 35.11, 25.63, 39.53,
0.04983115196228027,1.05, -0.23, 0.07, -13.00, 6.90, 3.78, 35.39, 26.31, 38.18,
0.04983115196228027,0.89, -0.18, 0.04, -11.11, 10.07, 6.90, 36.13, 27.31, 36.01,
0.05080842971801758,0.86, -0.19, 0.15, -4.33, 13.92, 5.68, 35.46, 26.79, 36.94,
0.05191779136657715,1.02, -0.23, 0.11, -11.66, 31.92, 15.81, 34.85, 26.45, 38.66,
0.05191779136657715,1.03, -0.06, -0.10, 3.05, -2.99, 8.54, 33.95, 25.72, 40.58,
0.05292797088623047,0.99, -0.10, -0.13, 39.73, 22.52, -12.45, 33.94, 25.34, 40.66,
0.05391430854797363,0.80, -0.06, -0.08, 5.07, -5.49, -4.58, 33.12, 25.29, 41.47,
0.05391430854797363,0.99, -0.10, 0.04, -5.37, 28.14, 0.85, 33.02, 24.33, 42.16,
0.05491900444030762,1.10, -0.02, -0.15, -0.49, -1.28, -3.97, 32.24, 24.99, 42.03,
0.05491900444030762,1.18, -0.34, -0.17, -2.56, -28.75, -0.49, 32.39, 24.79, 43.14,
0.055916547775268555,0.81, -0.17, -0.20, -14.10, -9.34, 6.77, 32.91, 25.00, 41.66,
0.055916547775268555,0.99, -0.15, -0.01, -3.97, 0.18, 2.20, 32.73, 25.26, 42.35,
0.056923866271972656,0.94, -0.13, -0.04, -1.28, 25.82, 5.49, 33.08, 25.31, 41.91,
0.05791735649108887,0.96, -0.16, -0.09, -0.24, 5.07, 2.44, 31.18, 25.23, 43.40,
0.05791735649108887,1.18, -0.17, -0.13, -14.47, 2.01, 1.95, 31.82, 24.62, 44.65,
0.05891847610473633,0.91, -0.08, -0.20, 5.37, -40.53, 3.36, 32.58, 24.90, 42.18,
0.05891847610473633,1.12, -0.15, -0.09, 33.81, 21.06, -17.33, 33.09, 23.65, 42.76,
0.060424089431762695,0.76, -0.07, -0.08, 8.67, -12.82, -1.53, 33.57, 24.05, 41.08,
0.060424089431762695,0.99, -0.07, -0.04, -8.24, 20.08, 4.09, 32.18, 23.08, 42.24,
0.0614316463470459,1.10, -0.04, -0.15, 2.62, 1.71, -2.50, 32.25, 23.43, 42.81,
0.0614316463470459,1.13, -0.34, -0.17, 3.30, -26.31, -10.74, 31.97, 22.94, 42.96,
0.062430620193481445,0.90, -0.24, -0.25, -16.11, -6.65, 5.68, 32.46, 24.50, 41.32,
0.06344485282897949,0.95, -0.12, -0.06, -17.64, -16.54, 11.23, 32.23, 25.61, 42.46,
0.06344485282897949,0.95, -0.14, -0.07, -3.60, 25.51, 5.74, 32.28, 25.42, 42.03,
0.06444954872131348,0.95, -0.20, -0.13, -4.58, 3.78, 6.84, 32.18, 24.79, 42.92,
0.06444954872131348,1.28, -0.07, -0.12, -9.83, -10.19, 3.72, 32.13, 24.56, 43.71,
0.0654449462890625,0.85, -0.00, -0.22, 1.89, -27.28, 0.06, 33.51, 23.85, 41.39,
0.0654449462890625,1.04, -0.18, -0.06, 19.29, 7.81, -14.40, 33.44, 23.08, 40.69,
0.06645846366882324,0.88, -0.09, -0.07, 13.67, 8.30, -0.55, 32.34, 23.28, 42.55,
0.06753396987915039,0.99, -0.02, -0.04, -1.95, 5.49, -4.64, 31.53, 23.52, 42.59,
0.06753396987915039,1.14, -0.07, -0.11, 13.43, -5.98, -8.79, 31.92, 23.39, 42.83,
0.06853580474853516,0.95, -0.25, -0.11, -15.99, -6.65, -8.24, 32.73, 23.85, 41.85,
0.06853580474853516,0.99, -0.25, -0.15, 0.73, -3.17, 8.73, 33.61, 24.26, 41.47,
0.06953740119934082,0.88, -0.14, -0.05, -9.34, -8.61, 14.53, 33.46, 24.12, 41.53,
0.06953740119934082,0.97, -0.13, 0.00, 0.67, 9.52, 2.44, 34.16, 23.88, 40.04,
0.07053112983703613,0.96, -0.17, 0.01, -8.61, 6.16, 8.85, 33.74, 23.36, 41.50,
0.07114005088806152,1.25, -0.10, -0.07, -8.97, -2.56, 0.55, 33.80, 23.54, 41.13,
